order_fact_key,order_id,customer_id,product_id,region_id,ship_mode_id,order_date,ship_date,discount,unit_price,discount_amount,discount_price,shipping_cost,quantity,total_price,is_return
1,88525,2,179,1,3,2012-05-28,2012-05-30,0.01,2.88,0.03,2.85,0.5,2,5.7,False
2,88522,3,924,1659,2,2010-07-07,2010-07-08,0.01,2.84,0.03,2.81,0.93,4,11.24,False
3,88523,3,1203,1659,2,2011-07-27,2011-07-28,0.03,6.68,0.2,6.48,6.15,7,45.36,False
4,88523,3,125,1659,3,2011-07-27,2011-07-28,0.01,5.68,0.06,5.62,3.6,7,39.34,False
5,88523,3,1094,1659,2,2011-07-27,2011-07-27,0.0,205.99,0.0,205.99,2.5,8,1647.92,False
6,88524,3,1184,1659,2,2011-11-09,2011-11-11,0.09,55.48,4.99,50.49,14.3,37,1868.13,False
7,88526,3,318,1659,1,2013-07-01,2013-07-08,0.08,120.97,9.68,111.29,26.3,12,1335.48,False
8,90193,5,561,1514,1,2010-12-13,2010-12-15,0.02,500.98,10.02,490.96,26.0,12,5891.52,False
9,90197,5,1175,1514,3,2012-05-12,2012-05-21,0.08,6.48,0.52,5.96,6.81,18,107.28,False
10,90194,6,694,1515,3,2011-05-26,2011-05-26,0.01,90.24,0.9,89.34,0.99,16,1429.44,False
11,90200,6,1238,1515,3,2012-12-29,2012-12-31,0.07,6.48,0.45,6.03,6.6,4,24.12,False
12,90200,6,992,1515,3,2012-12-29,2012-12-31,0.01,4.84,0.05,4.79,0.71,17,81.43,False
13,90200,6,83,1515,3,2012-12-29,2012-12-31,0.1,85.99,8.6,77.39,0.99,24,1857.36,False
14,90198,7,1177,631,3,2012-10-30,2012-10-31,0.05,12.28,0.61,11.67,4.86,19,221.73,False
15,90199,8,937,725,1,2012-12-25,2012-12-26,0.08,140.98,11.28,129.7,36.09,5,648.5,False
16,90199,9,899,749,1,2012-12-25,2012-12-27,0.1,286.85,28.69,258.17,61.76,8,2065.36,False
17,90195,10,850,807,3,2011-10-04,2011-10-05,0.06,15.57,0.93,14.64,1.39,14,204.96,False
18,90192,11,362,814,3,2010-08-15,2010-08-17,0.06,9.48,0.57,8.91,7.29,22,196.02,False
19,90196,12,501,1027,3,2012-02-24,2012-02-26,0.04,10.98,0.44,10.54,3.37,8,84.32,False
20,86838,14,786,258,3,2010-05-12,2010-05-13,0.08,3.28,0.26,3.02,2.31,7,21.14,False
21,86838,14,804,258,3,2010-05-12,2010-05-13,0.05,3.28,0.16,3.12,4.2,4,12.48,False
22,86838,14,823,258,3,2010-05-12,2010-05-13,0.05,3.58,0.18,3.4,1.63,4,13.6,False
23,86838,14,634,258,3,2010-05-12,2010-05-14,0.09,78.69,7.08,71.61,19.99,16,1145.76,False
24,86845,14,1241,258,3,2013-05-12,2013-05-13,0.01,6.48,0.06,6.42,7.86,4,25.68,False
25,86837,15,563,904,3,2010-04-08,2010-04-09,0.0,4.42,0.0,4.42,4.99,7,30.94,False
26,86839,15,1077,904,3,2010-05-28,2010-05-28,0.01,35.94,0.36,35.58,6.66,10,355.8,False
27,86840,15,780,904,3,2011-12-04,2011-12-06,0.03,1.76,0.05,1.71,0.7,10,17.1,False
