product_id,product_name,product_category,product_sub_category,product_container
1,10 4 18 x 9 12 recycled envelopes,Office Supplies,Envelopes,Small Box
2,10 4 18 x 9 12 securitytint envelopes,Office Supplies,Envelopes,Small Box
3,10 selfseal white envelopes,Office Supplies,Envelopes,Small Box
4,10 white business envelopes4 18 x 9 12,Office Supplies,Envelopes,Small Box
5,104 18 x 9 12 premium diagonal seam envelopes,Office Supplies,Envelopes,Small Box
6,12 colored short pencils,Office Supplies,Pens & Art Supplies,Wrap Bag
7,1212 diameter round wall clock,Furniture,Office Furnishings,Small Box
8,14 fold party design invitations  white envelopes 24 812 x 11 cards 25 envpack,Office Supplies,Paper,Small Box
9,1478 x 11 blue bar computer printout paper,Office Supplies,Paper,Small Box
10,17 cubic foot compact cube office refrigerators,Office Supplies,Appliances,Jumbo Drum
11,1726 digital answering machine,Technology,Telephones and Communication,Medium Box
12,210 trimline phone white,Technology,Office Machines,Medium Box
13,2160,Technology,Telephones and Communication,Small Box
14,2160i,Technology,Telephones and Communication,Small Box
15,2180,Technology,Telephones and Communication,Small Box
16,2190,Technology,Telephones and Communication,Small Box
17,2300 heavyduty transfer file systems by perma,Office Supplies,Storage & Organization,Small Box
18,232,Technology,Telephones and Communication,Small Box
19,24 capacity maxi data binder racks pearl,Office Supplies,Storage & Organization,Small Box
20,252,Technology,Telephones and Communication,Small Box
21,270c,Technology,Telephones and Communication,Small Box
22,282,Technology,Telephones and Communication,Small Box
23,300 series nonflip,Technology,Telephones and Communication,Small Box
24,3285,Technology,Telephones and Communication,Small Box
25,3390,Technology,Telephones and Communication,Small Box
26,3395,Technology,Telephones and Communication,Small Box
27,35 ibm formatted diskettes dshd,Technology,Computer Peripherals,Small Pack
28,36 cubic foot counter height office refrigerator,Office Supplies,Appliances,Jumbo Drum
29,36x48 hardfloor chairmat,Furniture,Office Furnishings,Medium Box
30,3m hangers with command adhesive,Furniture,Office Furnishings,Wrap Bag
31,3m office air cleaner,Office Supplies,Appliances,Medium Box
32,3m organizer strips,Office Supplies,Binders and Binder Accessories,Small Box
33,3m polarizing light filter sleeves,Furniture,Office Furnishings,Small Pack
34,3m polarizing task lamp with clamp arm light gray,Furniture,Office Furnishings,Large Box
35,4009 highlighters by sanford,Office Supplies,Pens & Art Supplies,Wrap Bag
36,5125,Technology,Telephones and Communication,Small Box
37,5165,Technology,Telephones and Communication,Small Box
38,5170,Technology,Telephones and Communication,Small Box
39,5170i,Technology,Telephones and Communication,Small Box
40,5180,Technology,Telephones and Communication,Small Box
41,5185,Technology,Telephones and Communication,Small Box
42,5190,Technology,Telephones and Communication,Small Box
43,6 34 gummed flap white envelopes,Office Supplies,Envelopes,Small Box
44,6 cubicle wall clock black,Furniture,Office Furnishings,Small Box
45,600 series flip,Technology,Telephones and Communication,Small Box
46,600 series nonflip,Technology,Telephones and Communication,Small Box
47,6000,Technology,Telephones and Communication,Small Box
48,6120,Technology,Telephones and Communication,Small Box
49,6160,Technology,Telephones and Communication,Small Box
50,6162,Technology,Telephones and Communication,Small Box
51,6162i,Technology,Telephones and Communication,Small Box
52,6162m,Technology,Telephones and Communication,Small Box
53,6185,Technology,Telephones and Communication,Small Box
54,6190,Technology,Telephones and Communication,Small Box
55,6340,Technology,Telephones and Communication,Small Box
56,636,Technology,Telephones and Communication,Small Box
57,688,Technology,Telephones and Communication,Small Box
58,7160,Technology,Telephones and Communication,Small Box
59,80 minute cdr spindle 100pack  staples,Technology,Computer Peripherals,Small Pack
60,80 minute slim jewel case cdr  10pack  staples,Technology,Computer Peripherals,Small Pack
61,8260,Technology,Telephones and Communication,Small Box
62,8290,Technology,Telephones and Communication,Small Box
63,8860,Technology,Telephones and Communication,Small Box
64,8890,Technology,Telephones and Communication,Small Box
65,934 diameter round wall clock,Furniture,Office Furnishings,Small Box
66,a1228,Technology,Telephones and Communication,Small Box
67,accessory1,Technology,Telephones and Communication,Small Pack
68,accessory12,Technology,Telephones and Communication,Small Box
69,accessory13,Technology,Telephones and Communication,Small Pack
70,accessory15,Technology,Telephones and Communication,Small Pack
71,accessory17,Technology,Telephones and Communication,Wrap Bag
72,accessory2,Technology,Telephones and Communication,Small Pack
73,accessory20,Technology,Telephones and Communication,Small Pack
74,accessory21,Technology,Telephones and Communication,Wrap Bag
75,accessory23,Technology,Telephones and Communication,Small Pack
76,accessory24,Technology,Telephones and Communication,Small Pack
77,accessory25,Technology,Telephones and Communication,Wrap Bag
78,accessory27,Technology,Telephones and Communication,Small Box
79,accessory28,Technology,Telephones and Communication,Small Pack
80,accessory29,Technology,Telephones and Communication,Small Pack
81,accessory31,Technology,Telephones and Communication,Small Pack
82,accessory32,Technology,Telephones and Communication,Small Pack
83,accessory34,Technology,Telephones and Communication,Wrap Bag
84,accessory35,Technology,Telephones and Communication,Small Box
85,accessory36,Technology,Telephones and Communication,Small Pack
86,accessory37,Technology,Telephones and Communication,Wrap Bag
87,accessory39,Technology,Telephones and Communication,Small Pack
88,accessory4,Technology,Telephones and Communication,Wrap Bag
89,accessory41,Technology,Telephones and Communication,Wrap Bag
90,accessory6,Technology,Telephones and Communication,Small Pack
91,accessory8,Technology,Telephones and Communication,Small Pack
92,accessory9,Technology,Telephones and Communication,Small Pack
93,acco 3hole punch,Office Supplies,Binders and Binder Accessories,Small Box
94,acco 6 outlet guardian premium surge suppressor,Office Supplies,Appliances,Small Box
95,acco clips to go binder clips 24 clips in two sizes,Office Supplies,Rubber Bands,Wrap Bag
96,acco dring binder wdubllock,Office Supplies,Binders and Binder Accessories,Small Box
97,acco four pocket poly ring binder with label holder smoke 1,Office Supplies,Binders and Binder Accessories,Small Box
98,acco hot clips clips to go,Office Supplies,Rubber Bands,Wrap Bag
99,acco keyboardinabox,Technology,Computer Peripherals,Small Box
100,acco perma 2700 stacking storage drawers,Office Supplies,Storage & Organization,Small Box
101,acco perma 3000 stacking storage drawers,Office Supplies,Storage & Organization,Small Box
102,acco pressboard covers with storage hooks 14 78 x 11 dark blue,Office Supplies,Binders and Binder Accessories,Small Box
103,acco pressboard covers with storage hooks 14 78 x 11 executive red,Office Supplies,Binders and Binder Accessories,Small Box
104,acco pressboard covers with storage hooks 14 78 x 11 light blue,Office Supplies,Binders and Binder Accessories,Small Box
105,acco presstex data binder with storage hooks dark blue 14 78 x 11,Office Supplies,Binders and Binder Accessories,Small Box
106,acco presstex data binder with storage hooks dark blue 9 12 x 11,Office Supplies,Binders and Binder Accessories,Small Box
107,acco recycled 2 capacity laser printer hanging data binders,Office Supplies,Binders and Binder Accessories,Small Box
108,acco sixoutlet power strip 4 cord length,Office Supplies,Appliances,Small Box
109,acco smartsocket colorcoded sixoutlet ac adapter model surge protectors,Office Supplies,Appliances,Small Box
110,acco smartsocket table surge protector 6 colorcoded adapter outlets,Office Supplies,Appliances,Small Box
111,acco suede grain vinyl round ring binder,Office Supplies,Binders and Binder Accessories,Small Box
112,accohide 3ring binder blue 1,Office Supplies,Binders and Binder Accessories,Small Box
113,accohide binder by acco,Office Supplies,Binders and Binder Accessories,Small Box
114,accohide poly flexible ring binders,Office Supplies,Binders and Binder Accessories,Small Box
115,acme 8 straight scissors,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack
116,acme box cutter scissors,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack
117,acme design line 8 stainless steel bent scissors wchampagne handles 318 cut,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack
118,acme design stainless steel bent scissors,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack
