region_id,region,state_or_province,city,postal_code,total_revenue,total_customers,revenue_per_customer,total_orders,order_value,return_rate,avg_order_value
1,Central,Illinois,Addison,60101,537.05,2,268.53,3,,0.0,179.02
2,Central,Illinois,Alton,62002,4720.9,2,2360.45,5,,0.0,944.18
3,Central,Illinois,Arlington Heights,60004,663.17,2,331.59,4,,0.0,165.79
4,Central,Illinois,Aurora,60505,3319.2,1,3319.2,3,,0.0,1106.4
5,Central,Illinois,Batavia,60510,2679.27,2,1339.64,5,,0.0,535.85
6,Central,Illinois,Belleville,62223,2226.21,1,2226.21,3,,0.0,742.07
7,Central,Illinois,Belvidere,61008,6378.08,1,6378.08,4,,0.0,1594.52
8,Central,Illinois,Bloomington,61701,3251.21,1,3251.21,5,,0.0,650.24
9,Central,Illinois,Bolingbrook,60440,849.37,2,424.69,3,,0.0,283.12
10,Central,Illinois,Buffalo Grove,60089,3347.21,2,1673.61,7,,0.0,478.17
11,Central,Illinois,Burbank,60459,1031.34,2,515.67,6,,0.0,171.89
12,Central,Illinois,Calumet City,60409,6777.96,2,3388.98,6,,0.0,1129.66
13,Central,Illinois,Carbondale,62901,9526.14,2,4763.07,6,,0.0,1587.69
14,Central,Illinois,Carol Stream,60188,7375.24,1,7375.24,5,,0.0,1475.05
15,Central,Illinois,Carpentersville,60110,13029.89,1,13029.89,4,,0.0,3257.47
16,Central,Illinois,Champaign,61821,337.34,2,168.67,4,,0.0,84.34
17,Central,Illinois,Chicago,60601,116500.78,2,58250.39,22,,18.18,5295.49
18,Central,Illinois,Chicago,60603,3319.56,1,3319.56,3,,0.0,1106.52
19,Central,Illinois,Chicago,60610,17183.08,1,17183.08,5,,0.0,3436.62
20,Central,Illinois,Chicago,60611,14906.18,1,14906.18,5,,0.0,2981.24
21,Central,Illinois,Chicago,60623,3028.25,2,1514.13,4,,0.0,757.06
22,Central,Illinois,Chicago,60653,26837.62,1,26837.62,8,,0.0,3354.7
23,Central,Illinois,Chicago,60699,46533.02,1,46533.02,7,,28.57,6647.57
24,Central,Illinois,Collinsville,62234,1806.98,1,1806.98,5,,0.0,361.4
25,Central,Illinois,Country Club Hills,60478,9449.66,2,4724.83,4,,0.0,2362.42
26,Central,Illinois,Crystal Lake,60014,11041.33,1,11041.33,4,,0.0,2760.33
27,Central,Illinois,Danville,61832,24838.27,1,24838.27,5,,0.0,4967.65
28,Central,Illinois,Decatur,62521,8605.73,1,8605.73,3,,0.0,2868.58
29,Central,Illinois,Des Plaines,60016,3789.4,2,1894.7,4,,0.0,947.35
30,Central,Illinois,Downers Grove,60516,6341.37,2,3170.69,4,,0.0,1585.34
31,Central,Illinois,East Saint Louis,62205,4372.82,2,2186.41,5,,0.0,874.56
32,Central,Illinois,Elgin,60123,18385.76,2,9192.88,6,,0.0,3064.29
33,Central,Illinois,Elk Grove Village,60007,14129.76,1,14129.76,4,,0.0,3532.44
34,Central,Illinois,Elmhurst,60126,11661.48,1,11661.48,2,,0.0,5830.74
35,Central,Illinois,Evanston,60201,443.65,1,443.65,1,,0.0,443.65
36,Central,Illinois,Forest Park,60130,3509.45,1,3509.45,3,,0.0,1169.82
37,Central,Illinois,Frankfort,60423,3397.84,1,3397.84,4,,0.0,849.46
38,Central,Illinois,Franklin Park,60131,5255.94,2,2627.97,3,,0.0,1751.98
39,Central,Illinois,Freeport,61032,3630.6,2,1815.3,5,,0.0,726.12
40,Central,Illinois,Galesburg,61401,10213.96,1,10213.96,6,,0.0,1702.33
41,Central,Illinois,Glen Ellyn,60137,4855.18,2,2427.59,3,,0.0,1618.39
42,Central,Illinois,Glendale Heights,60139,11584.37,1,11584.37,6,,0.0,1930.73
